Date,NDOIcfs
8/15/2021,3454
8/16/2021,3393
8/17/2021,3582
8/18/2021,3797
8/19/2021,4020
8/20/2021,4025
8/21/2021,3854
8/22/2021,3686
8/23/2021,3884
8/24/2021,3560
8/25/2021,3693
8/26/2021,3608
8/27/2021,4116
8/28/2021,3719
8/29/2021,3486
8/30/2021,3604
8/31/2021,3574
9/1/2021,2696
9/2/2021,2952
9/3/2021,3263
9/4/2021,3261
9/5/2021,3423
9/6/2021,3556
9/7/2021,3730
9/8/2021,3367
9/9/2021,3307
9/10/2021,3067
9/11/2021,3771
9/12/2021,3966
9/13/2021,3873
9/14/2021,3802
9/15/2021,3048
9/16/2021,2735
9/17/2021,2962
9/18/2021,2776
9/19/2021,2577
9/20/2021,3072
9/21/2021,2802
9/22/2021,2778
9/23/2021,2346
9/24/2021,2286
9/25/2021,2409
9/26/2021,2239
9/27/2021,2057
9/28/2021,2063
9/29/2021,3449
9/30/2021,3951
